,Dates,EWJ,VB,EEM,VTV,VTI,EFA,VEA,VWO,IWM,IJH,IJR,IWF,VUG,SPY,mu,0.000470706,0.000723156,0.000602255,0.00048788,0.00060917,0.000365491,0.000418555,0.000539102,0.000827748,0.000660334,0.000840463,0.000736915,0.000707436,0.000567947
48,13-Apr-18,0,-0.003838642,-0.009989594,-0.003546439,-0.002847339,0.000989819,0.00089226,-0.010418882,-0.005233911,-0.00323333,-0.003565516,-0.002697383,-0.002240739,-0.002933103,,60.4,149.31,47.63,104.88,137.72,70.9,44.95,46.58,155.37,189.99,79.12,137.94,143.52,267.33
49,12-Apr-18,-0.00165755,0.005825374,-0.00041606,0.009384675,0.008095974,0.003832505,0.003806538,-0.000212585,0.006831045,0.004311951,0.004991042,0.008158166,0.006909681,0.008227176,,60.23,147.92,47.57,103.96,136.58,70.79,44.87,46.54,153.95,188.05,78.25,136.8,142.49,265.15
50,11-Apr-18,-0.002480159,0.000610004,0.000416233,-0.00644045,-0.004615385,-0.003817873,-0.004680187,0.001277139,0.002151519,-0.001222884,0.001666453,-0.004900168,-0.00393286,-0.005242316,,60.23,148.49,48.05,104.33,136.97,70.72,44.83,47.03,154.76,188.66,78.53,137.17,142.81,265.93
51,10-Apr-18,0.005486284,0.017447073,0.019520475,0.015620424,0.016229899,0.01071888,0.011041009,0.018647008,0.018865418,0.015989628,0.018939394,0.01779068,0.017943952,0.015900383,,60.33,147.63,48.07,103.36,135.87,70.45,44.66,47.04,153.71,187.85,78.14,136.06,141.83,263.76
52,9-Apr-18,0.008889634,0.000137941,0.001062022,0.003723665,0.00336147,0.008213256,0.008636364,-0.000866551,0.001197127,0.000594562,-0.002605524,0.002986412,0.003371351,0.004928384,,60.48,147.54,48.05,104.03,136.5,70.72,44.87,46.98,153.38,188.08,78.01,136.73,142.39,265.15
53,6-Apr-18,-0.015684332,-0.01934393,-0.019575177,-0.020727377,-0.020988738,-0.006584598,-0.008115419,-0.017663333,-0.019945248,-0.019866497,-0.01803761,-0.022906332,-0.022986895,-0.0222858,,60.15,145.01,47.13,102.43,134.32,69.97,44.38,46.12,150.54,185.12,76.56,134.34,139.88,261
54,5-Apr-18,0.004977601,0.007289822,0.002505219,0.006762632,0.006996097,0.006628242,0.00749489,0.002132651,0.008280757,0.007579801,0.010731833,0.006978623,0.00748429,0.007891941,,59.62,144.99,47.08,102.05,133.87,69.4,44,46.16,150.36,185.01,76.76,133.94,139.41,259.72
55,4-Apr-18,0.000996512,0.01060314,0.000417711,0.01163018,0.011245159,0.003470214,0.002276349,0.003209243,0.012712146,0.008831449,0.012568735,0.013324401,0.011859684,0.010699083,,60.57,147.85,48.02,104.21,136.74,69.86,44.36,46.99,153.42,188.76,78.17,137.08,142.69,265.64
56,3-Apr-18,0.012613522,0.012972521,0.00991352,0.013972847,0.012440624,0.006402794,0.007799954,0.009721322,0.014311753,0.013812306,0.015016611,0.011596386,0.011343931,0.012817027,,60.27,146.78,47.9,103.51,135.79,69.4,44.03,46.89,152.16,187.34,77.34,136.13,141.63,263.56
57,2-Apr-18,-0.020105471,-0.024094745,-0.018019884,-0.022000388,-0.022767462,-0.013777268,-0.014915254,-0.014687101,-0.02436936,-0.023457909,-0.022854175,-0.024175178,-0.02452777,-0.021584648,,60.21,145.24,47.88,102.32,134.28,69.16,43.93,46.74,150.25,185.7,76.38,134.34,139.97,260.77
58,30-Mar-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,59.46,143.38,47.41,100.91,132.63,68.72,43.59,46.29,148.13,183.17,75.25,132.8,138.4,257.47
59,29-Mar-18,0.012683578,0.012194282,0.020934658,0.012164018,0.013743651,0.009123823,0.010966415,0.018205462,0.010112434,0.013782294,0.009437672,0.015672811,0.016332378,0.012777585,,60.68,146.92,48.28,103.18,135.72,69.68,44.25,46.98,151.83,187.57,77.01,136.09,141.88,263.15
