,Dates,MSFT,F,BGS,ADRD,V,MGI,NFLX,JACK,GE,SBUX,C,HD,SPY,mu,0.001143164,-0.000344378,0.000245835,4.75E-06,0.000906712,0.0001196,0.002553423,1.90E-05,-0.00060576,0.000118217,0.000427717,0.000700072,0.000333031
164,11/13/2017,0.000715393,0.012489592,0.005997001,-0.00304878,-0.004290311,-0.032666667,0.01593584,-0.00290029,-0.071742313,-0.007012623,-0.003598616,0.007555908,0.001322,,,,,,,,,,,,,,
165,11/10/2017,-0.002616244,-0.002491694,0.004518072,0.003058104,-0.00231853,0.047486034,-0.009695719,-0.002494014,0.025012506,-0.005578801,-0.002485158,0.005144852,0.001558,,,,,,,,,,,,,,
166,11/9/2017,-0.005558184,-0.001658375,0.007587253,-0.006941432,-0.002934116,-0.002785515,-0.012930157,-0.010561642,-0.006461233,-0.009497496,0.001244125,-0.004754648,-0.00373,,,,,,,,,,,,,,
167,11/8/2017,0.00344132,-0.008223684,0.01540832,0.00260983,0.003390133,0.027916965,0.002807698,0.001185888,-0.004453241,0.012058721,-0.005088709,0.002382989,0.008176,,,,,,,,,,,,,,
168,11/7/2017,-0.002367705,-0.01378751,-0.013677812,-0.010118407,0.001518942,-0.032548476,-0.021186229,-0.011237053,0.003974168,0.011490189,-0.014769648,-0.00341006,0.001293,,,,,,,,,,,,,,
169,11/6/2017,0.003922035,-0.002427184,-0.020833333,0.00410722,0.005028736,-0.006877579,0.00059997,-0.003408316,-0.000496524,0.009637694,-0.003376097,-0.001034126,-0.00495,,,,,,,,,,,,,,
170,11/3/2017,0.001070791,-0.004830918,0.027522936,0.003971613,0.00342404,-0.054616385,0.00346177,0.014623061,0.01003009,0.021140878,-0.009232004,0.010325118,0.001757,,,,,,,,,,,,,,
171,11/2/2017,0.010459245,0.005668016,-0.087866109,-0.001430336,-0.0008103,-0.006459948,0.006666667,-0.005404874,-0.003996004,-0.004716126,0.009590706,-0.016144637,-0.00389,,,,,,,,,,,,,,
172,11/1/2017,0,0.006519967,0.127358491,0.002467988,0.009910893,-0.004501608,0.007992669,-0.016906579,-0.006944444,0.005288111,0.007210884,-0.002412836,0.00516,,,,,,,,,,,,,,
173,10/31/2017,-0.008463464,0.014049587,-0.020030817,0.004570057,-0.000545256,-0.011443102,-0.009779705,0.001741992,-0.012248898,-0.005981512,-0.003795066,0.002843143,0.000274,,,,,,,,,,,,,,
174,10/30/2017,0.00095454,0.00331675,-0.025525526,0.00659051,0.00300793,-0.00443038,-0.005863486,-0.006728828,-0.018278018,0.005284257,-0.001218357,-0.012130991,0.000979,,,,,,,,,,,,,,
175,10/27/2017,0.064118842,-0.017114914,0.012158055,-0.000219635,-0.000819672,0.000633312,0.022181241,0.017607356,-0.024859287,-0.000546349,0.001084158,-0.00184909,0.000705,,,,,,,,,,,,,,
176,10/26/2017,0.001653313,0.01910299,0.00152207,0.001099384,0.002831309,0,0.007431491,0.003928115,-0.008372093,0.013847858,0.002309155,0.00951406,0.001334,,,,,,,,,,,,,,
